품목코드,품목명,품목분류명,"재고

or주문재",정찰제 정보,"1단가

(VIP)","2단가

(쇼핑)",3단가,4단가,--,"[최근]

단가변동일","[최근]

재고조사일"
(1)300A3자작SBB9,◈자작합판 1220*2440*9 (S/BB) 롱/러,합판,재고,"42000 별도
12 / 21 / 27 / 31","47,000","50,800","53,400","55,000",,인상 26/1/3,실사 25/12/23
(1)300A48536알,◈합판 910*1820*8.5 알비자(삼부),합판,재고,"7300 별도
13 / 26 / 32 / 38","8,300","9,200","9,700","10,200",,인상 26/1/22,실사 25/12/23
(1)300A4자작SBB12,◈자작합판 1220*2440*12 (S/BB) 롱/러,합판,재고,"49500 별도
12 / 21 / 27 / 31","55,300","59,800","62,800","64,800",,인상 26/1/3,실사 25/12/23
(1)300A511536B,◈합판 910*1820*11.5 BB/CC(연부)★고급,합판,재고,"13000 별도
13 / 25 / 30 / 35","14,700","16,300","16,900","17,500",,인상 25/12/5,실사 25/12/23
(1)300A5자작SBB15,◈자작합판 1220*2440*15 (S/BB) 롱/러,합판,재고,"56000 별도
12 / 23 / 30 / 34","62,800","69,000","73,000","75,000",,인하 26/3/5,실사 25/12/23
(1)300A611536M,◈합판 910*1820*11.5 MLH VT (연부),합판,재고,"7500 별도
12 / 21 / 27 / 32","8,400","9,100","9,600","9,900",,인상 25/12/15,실사 25/12/23
(1)300A6자작SBB18,◈자작합판 1220*2440*18 (S/BB) 롱/러,합판,재고,"63500 별도
11 / 20 / 26 / 30","70,500","76,000","80,000","82,500",,인하 26/3/5,실사 25/12/23
(1)300B1미송유48,◈미송(유절) 1220*2440*4.8,합판,재고,"12200 별도
13 / 23 / 34 / 40","13,800","15,000","16,400","16,800",,조정 24/10/5,실사 25/12/23
(1)300B2미송유85,◈미송(유절) 1220*2440*8.5,합판,재고,"21000 별도
14 / 26 / 35 / 41","24,000","26,500","28,400","29,700",,인상 25/2/14,실사 25/12/23
(1)300B3미송유12,◈미송(유절) 1220*2440*12,합판,재고,"26000 별도
14 / 25 / 34 / 40","29,700","32,500","34,900","36,400",,인상 25/2/14,실사 25/12/23
(1)300B4미송유15,◈미송(유절) 1220*2440*15,합판,재고,"33500 별도
14 / 27 / 36 / 42","38,200","42,500","45,600","47,600",,인상 24/5/24,실사 25/12/23
(1)300B5미송유18,◈미송(유절) 1220*2440*18,합판,재고,"39000 별도
13 / 25 / 34 / 40","44,000","48,800","52,300","54,600",,인상 25/3/14,실사 25/12/23
(1)300B6미송무45,◈미송(무절★양면) 1220*2440*4.5,합판,재고,"13500 포함
20 / 37 / 55 / 65","14,700","16,800","19,100","20,000",,조정 24/2/6,실사 25/12/23
(1)300C1낙엽48,◈낙엽송 1220*2440*4.8 엠보,합판,재고,"11000 별도
13 / 24 / 32 / 37","12,500","13,600","14,500","15,000",,인하 24/12/27,실사 25/12/23
(1)300C2낙엽75,◈낙엽송 1220*2440*7.5 엠보,합판,재고,"20000 별도
14 / 27 / 35 / 40","22,800","25,400","27,000","28,000",,인하 26/1/21,실사 25/12/23
(1)300C3낙엽115,◈낙엽송 1220*2440*11.5 엠보,합판,재고,"26000 별도
14 / 30 / 36 / 42","29,500","34,000","35,500","36,800",,인하 24/2/29,실사 25/12/23
(1)300E낙엽18,◈낙엽송 1220*2440*18 엠보,합판,재고,"39500 별도
14 / 30 / 36 / 42","45,000","51,400","53,500","56,000",,인하 26/1/21,실사 25/12/23
(1)300OSB11내,◈OSB 4*8*11.1 (내장용/라인X),합판,재고,"10500 별도
13 / 24 / 32 / 37","11,900","13,000","13,900","14,400",,인상 25/12/8,실사 25/12/23
(1)300OSB8내,◈OSB 4*8*8.0 (내장용/라인X),합판,재고,"8500 별도
14 / 26 / 35 / 40","9,700","10,800","11,500","12,000",,인상 26/3/6,실사 25/12/23
(1)300내수1248수,◈내수 1220*2440*12 1급 (수입 KS),합판,재고,"20000 별도
13 / 24 / 30 / 35","22,600","24,800","26,000","27,000",,인하 25/9/2,실사 25/12/23
(1)300내수21236수,◈내수 910*1820*12 1급 (수입 KS),합판,재고,"12000 별도
14 / 28 / 32 / 40","13,600","15,500","15,900","16,800",,신규 24/2/20,실사 25/12/23
(1)300백색27,◈백색합판 1220*2440*2.7 (코팅/단면),합판,재고,,"17,500","20,000","21,100","22,100",,조정 24/10/11,실사 25/12/23
(1)300오크27,◈오크합판 1220*2440*2.7 (시트/단면),합판,재고,,"16,300","18,600","20,500","21,400",,조정 24/8/25,실사 25/12/23
(1)300준내수948,◈준내수 4*8*9 E0 친환경 국산,합판,재고,"21200 별도
13 / 23 / 28 / 33","24,000","26,000","27,200","28,200",,인상 26/1/27,실사 25/12/23
(1)300태고1248N,◈태고 1220*2440*12 (동남아산),합판,재고,"26200 별도
13 / 28 / 33 / 37","29,700","33,500","35,000","36,000",,인상 25/12/29,실사 25/12/23
(1)300태고21236,◈태고 910*1820*12,합판,재고,"11000 별도
14 / 32 / 37 / 42","12,600","14,600","15,000","15,700",,인하 25/7/8,실사 25/12/23
(1)301MDF113고밀,◈MDF 1220*2440*2.7 R/S (고밀도),MDF,재고,"3800 별도
13 / 25 / 30 / 35","4,300","4,800","5,000","5,200",,조정 25/9/10,실사 25/12/23
(1)301MDF1245고밀,◈MDF 1220*2440*4.5 R/S (고밀도),MDF,재고,"6000 별도
15 / 30 / 38 / 43","6,900","7,800","8,300","8,600",,인상 25/3/25,실사 25/12/23
(1)301MDF136USB,◈MDF 1220*2440*6 USB,MDF,재고,"6320 별도 (8%)
12 / 21 / 25 / 30","7,100","7,700","7,900","8,300",,인상 25/9/10,실사 25/12/23
(1)301MDF149USB,◈MDF 1220*2440*9 USB,MDF,재고,"8290 별도 (6%)
10 / 15 / 18 / 22","9,200","9,600","9,800","10,200",,인상 25/9/10,실사 25/12/23
(1)301MDF1512USB,◈MDF 1220*2440*12 USB,MDF,재고,"11090 별도 (8%)
11 / 18 / 21 / 25","12,400","13,000","13,500","13,900",,인상 25/9/10,실사 25/12/23
(1)301MDF1615USB,◈MDF 1220*2440*15 USB,MDF,재고,"14320 별도 (8%)
12 / 21 / 25 / 28","16,100","17,400","17,900","18,400",,인상 25/9/10,실사 25/12/23
(1)301MDF1718USB,◈MDF 1220*2440*18 USB,MDF,재고,"16640 별도 (8%)
11 / 18 / 21 / 25","18,500","19,700","20,200","20,800",,인상 25/9/10,실사 25/12/23
(1)301MDF1825UB,◈MDF 1220*2440*25 UB(중밀도),MDF,재고,"35500 별도
17 / 28 / 38 / 43","41,600","45,500","49,000","51,000",,인상 25/9/10,실사 25/12/23
(1)301MDF1930UB,◈MDF 1220*2440*30 UB(중밀도),MDF,재고,"43000 별도
17 / 28 / 38 / 43","50,400","55,000","59,400","61,500",,인상 25/4/18,실사 25/12/23
(1)301MDF206고밀,◈MDF★고밀도★ 1220*2440*6 (수입),MDF,재고,"10000 별도
20 / 35 / 45 / 55","12,000","13,500","14,500","15,500",,인하 25/9/4,실사 25/12/23
(1)301MDF209고밀,◈MDF★고밀도★ 1220*2440*9 (수입),MDF,재고,"11000 별도
13 / 22 / 30 / 35","12,500","13,500","14,300","15,000",,인하 25/9/4,실사 25/12/23
(1)301MDF2112고밀,◈MDF★고밀도★ 1220*2440*12 (수입),MDF,재고,"14000 별도
15 / 30 / 40 / 50","16,000","18,000","19,500","21,000",,인하 25/9/4,실사 25/12/23
(1)301MDF2215고밀,◈MDF★고밀도★ 1220*2440*15 (수입),MDF,재고,"18000 별도
15 / 30 / 40 / 50","20,700","23,500","25,000","27,000",,인하 25/9/4,실사 25/12/23
(1)301MDF2318고밀,◈MDF★고밀도★ 1220*2440*18 (수입),MDF,재고,"20000 별도
15 / 30 / 40 / 50","23,000","26,000","28,000","30,000",,인하 25/9/4,실사 25/12/23
(1)302고무12탑,◈집성(고무나무) 1220*2440*12 T/F,집성목,재고,"43000 포함
14 / 26 / 32 / 38","44,500","49,200","51,500","54,000",,인상 26/2/3,실사 25/12/23
(1)302고무15탑,◈집성(고무나무) 1220*2440*15 T/F,집성목,재고,"50230 포함
14 / 24 / 30 / 36","52,000","56,500","59,400","62,000",,인상 25/12/17,실사 25/12/23
(1)302고무18탑,◈집성(고무나무) 1220*2440*18 T/F,집성목,재고,"58600 포함
13 / 22 / 30 / 35","60,000","65,000","69,300","72,000",,인상 26/1/8,실사 25/12/23
(1)302라디12탑,◈집성(라디에타) 1220*2440*12 T/F,집성목,재고,"32670 포함
13 / 23 / 32 / 37","33,600","36,500","39,000","40,500",,인상 25/8/26,실사 25/12/23
(1)302라디15탑,◈집성(라디에타) 1220*2440*15 T/F,집성목,재고,"39050 포함
13 / 22 / 31 / 36","40,000","43,400","46,600","48,300",,인상 25/1/31,실사 25/12/23
(1)302라디18탑,◈집성(라디에타) 1220*2440*18 T/F,집성목,재고,"46600 포함
12 / 20 / 27 / 31","47,300","50,900","53,600","55,500",,인상 24/6/14,실사 25/12/23
(1)302라디24탑,◈집성(라디에타) 1220*2440*24 T/F,집성목,재고,"62140 포함
13 / 21 / 31 / 36","64,000","68,400","74,000","77,000",,인상 25/1/16,실사 25/12/23
(1)302라디30탑,◈집성(라디에타) 1220*2440*30 T/F,집성목,재고,"81700 포함
13 / 21 / 31 / 36","84,000","90,000","97,300","101,100",,인상 25/1/16,실사 25/12/23
(1)302레드12솔,◈집성(레드파인) 1220*2440*12 솔리/유,집성목,재고,"52000 포함
12 / 21 / 28 / 33","53,000","57,000","60,500","62,500",,인상 25/11/12,실사 25/12/23
(1)302레드15솔,◈집성(레드파인) 1220*2440*15 솔리/유,집성목,재고,"61000 포함
13 / 22 / 28 / 33","62,700","67,500","71,000","73,500",,인상 25/8/26,실사 25/12/23
(1)302레드18솔,◈집성(레드파인) 1220*2440*18 솔리/유,집성목,재고,"69920 포함
11 / 19 / 26 / 30","70,600","75,500","80,000","82,500",,인상 25/12/17,실사 25/12/23
(1)302레드60각,◈집성(레드파인)솔리드 각재 60*60*2440,집성목,재고,,"16,200","18,600","19,500","20,000",,조정 24/6/26,실사 25/12/23
(1)302멀바1238,◈집성(멀바우) 910*2440*12 S/F,집성목,재고,"44023 포함
15 / 35 / 40 / 45","46,100","54,100","56,100","58,100",,인하 24/3/18,실사 25/12/23
(1)302멀바1538,◈집성(멀바우) 910*2440*15 S/F,집성목,재고,"53071 포함
15 / 30 / 35 / 40","55,500","62,700","65,000","67,300",,조정 24/9/5,실사 25/12/23
(1)302멀바1838,◈집성(멀바우) 910*2440*18 S/F,집성목,재고,"60147 포함
13 / 24 / 30 / 35","61,800","67,700","70,900","73,600",,조정 24/5/6,실사 25/12/23
(1)302멀바1848,◈집성(멀바우) 1220*2440*18 S/F 사팔,집성목,재고,"80000 포함
14 / 25 / 30 / 34","83,000","91,000","95,000","97,500",,인하 25/7/22,실사 25/12/23
(1)302멀바계단30300,◈집성계단재 30*300*3600 (멀바우) S/F,집성목,재고,"51030 포함
14 / 28 / 32 / 36","52,700","59,100","60,900","62,700",,신규 24/8/8,실사 25/12/23
(1)302멀바계단38300,◈집성계단재 38*300*3600 (멀바우) S/F,집성목,재고,65254 포함<br>14 / 28 / 32 / 36,"67,300","75,900","78,200","80,500",,인하 24/11/8,실사 25/12/23
(1)302미송계단38300,◈집성계단재 38*300*3600 (미송/라디) T/F,집성목,재고,"41800 포함
15 / 27 / 34 / 40","43,700","48,300","51,000","53,200",,인상 25/1/22,실사 25/12/23
(1)302미송대봉9090,◈라디에타(미송) 대봉(大) 90*90*1200,집성목,재고,"14800 포함
20 / 45 / 55 / 65","16,200","19,500","20,800","22,200",,조정 24/9/28,실사 25/12/23
(1)302미송반달4070,◈핸드레일(미송/라디에타) 반달◐ 40*70*12자,집성목,재고,"15500 포함
20 / 42 / 55 / 65","16,800","20,000","21,800","23,200",,조정 24/3/28,실사 25/12/23
(1)302미송소봉4040,◈라디에타(미송) 소봉(小) 40*40*900,집성목,재고,"2200 포함
20 / 45 / 55 / 65","2,500","2,900","3,100","3,300",,인하 24/9/21,실사 25/12/23
(1)302미송식빵6070,◈핸드레일(미송/라디에타) 식빵♣ 60*70*12자,집성목,재고,"23000 포함
20 / 42 / 55 / 65","25,100","29,700","32,500","34,500",,조정 24/12/16,실사 25/12/23
(1)302삼목12솔,◈집성(삼목) 1220*2440*12 솔리드,집성목,재고,"31000 포함
17 / 25 / 35 / 40","33,000","35,500","38,000","39,500",,조정 25/3/19,실사 25/12/23
(1)302삼목15솔,◈집성(삼목) 1220*2440*15 솔리드,집성목,재고,"38160 포함
16 / 27 / 35 / 40","40,000","44,000","47,000","49,000",,인상 25/3/19,실사 25/12/23
(1)302삼목18솔,◈집성(삼목) 1220*2440*18 솔리드,집성목,재고,"44205 포함
15 / 24 / 34 / 39","46,600","50,000","53,600","55,500",,조정 24/7/3,실사 25/12/23
(1)302쏘노30300,◈집성(쏘노클린) 30*300*12자 (코팅),집성목,주문재,,,,,,,,실사 25/12/23
(1)302아카15유,◈집성(아카시아) 1220*2440*15 유절 S/F,집성목,재고,"37500 포함
14 / 26 / 32 / 37","38,800","43,000","45,000","46,500",,인상 26/2/12,실사 25/12/23
(1)302아카18N무,◈집성(아카시아) 1220*2440*18★무절S/F,집성목,재고,"60300 포함
13 / 24 / 32 / 36","62,100","68,000","72,500","75,000",,인상 25/3/19,실사 25/12/23
(1)302아카18유,◈집성(아카시아) 1220*2440*18 유절 S/F,집성목,재고,"45000원 포함
13 / 23 / 31 / 36","46,400","50,500","54,000","56,000",,인상 25/2/17,실사 25/12/23
(1)302에쉬1848,◈집성(에쉬) 1220*2440*18 S/F,집성목,재고,"106000 포함
14 / 25 / 30 / 34","110,000","120,000","125,000","129,000",,인상 25/3/19,실사 25/12/23
(1)302오동12솔,◈집성(오동나무) 1000*2000*12 솔리드,집성목,재고,"34100 포함
20 / 30 / 40 / 45","37,300","40,000","44,000","45,000",,조정 25/3/19,실사 25/12/23
(1)500다크브201328,◈합성목재 20*140*2400 (8자) 다크브라운,합성목,재고,"10000 별도
14 / 28 / 33 / 38","11,400","12,800","13,300","13,800",,인하 25/7/8,실사 25/12/23
(1)500도장피스838,◈합성목재 도장직결피스(8*38) [500개] 다크브라운,합성목,재고,"40000원 포함
15 / 30 / 35 / 40","42,000","47,000","49,000","51,000",,인상 25/9/17,실사 25/12/23
(1)500미들클립20,◈합성목재 미들클립(20T) [100개] 블랙,합성목,재고,,"22,700","26,800","28,600","29,500",,,실사 25/12/23
(1)500스타트클립20,◈합성목재 스타트클립(20T) [50개] 블랙,합성목,재고,,"9,100","10,900","12,000","12,300",,,실사 25/12/23
(1)500아티론,◈합성목재 연결보조제(아티론) [100개],합성목,재고,"10000원 포함
15 / 35 / 45 / 50","10,500","12,300","13,200","13,700",,인상 25/6/25,실사 25/12/23
(1)500클립피스820,◈합성목재 클립전용피스(8*20) [500개],합성목,재고,,"16,400","19,100","20,500","20,900",,,실사 25/12/23
(1)502백스페,◈백색 스페이스월(1220*2440)[쫄대포함],마감재,재고,"47000원 별도
14 / 28 / 33 / 37","53,500","60,000","62,500","64,500",,인상 25/8/5,실사 25/12/23
(1)503스카이비바,◈스카이비바 24K 50T*450*1000,흡음재,재고,"1550 별도
23 / 37 / 55 / 90","2,000","2,200","2,500","3,000",,,실사 25/12/23
(1)503차음시트기본,◈차음시트 2T 접착 1000*1000,흡음재,재고,"3800 별도
11 / 25 / 30 / 35","4,300","4,800","5,000","5,200",,,
(1)503타공라메9,◈타공판/라인/메이플/방염 1184*2400*9T,흡음재,재고,"39500 별도
11 / 22 / 26 / 30","43,900","48,000","50,000","51,500",,인상 25/4/7,실사 25/12/23
(1)503타공원메9,◈타공판/원형/메이플/방염 1200*2400*9T,흡음재,재고,"36000 별도
12 / 24 / 28 / 32","40,400","44,700","46,100","47,600",,인상 25/4/7,실사 25/12/23
(1)60010그라스울기본,◈(28장★벽산) 그라스울 24K50*450*1m,단열재,재고,"44075 포함 ( KG당 2650원 )
17 / 27 / 37 / 42","46,800","50,900","55,000","56,800",,인상 24/3/7,실사 25/12/23
(1)60011아이소101호,◈아이소핑크 1호 10T 3*6,단열재,재고,"2200 별도 
mm당 220 (실 200)
17 / 37 / 42 / 50","2,600","3,100","3,200","3,300",,인하 25/7/7,실사 25/12/23
(1)60011이보드13도배,◈이보드 13T 900*2400 (도배용),단열재,재고,"8800 별도
13 / 25 / 30 / 35","10,000","11,000","11,500","12,000",,인하 25/7/3,실사 25/12/23
(1)60012아이소20특,◈아이소핑크 특호 20T 3*6,단열재,재고,"4300 별도
mm당 215 (실 170)
17 / 35 / 42 / 48","5,100","5,900","6,200","6,400",,인하 25/6/18,실사 25/12/23
(1)60012이보드23도배,◈이보드 23T 900*2400 (도배용),단열재,재고,"13500 별도
13 / 28 / 33 / 38","15,300","17,300","18,000","18,800",,인하 25/7/3,실사 25/12/23
(1)60013아이소30특,◈아이소핑크 특호 30T 3*6,단열재,재고,"4800 별도
mm당 160 (실 150)
17 / 35 / 42 / 48","5,700","6,500","6,900","7,200",,인하 25/7/7,실사 25/12/23
(1)60013이보드33도배,◈이보드 33T 900*2400 (도배용),단열재,재고,"16500 별도
13 / 28 / 33 / 38","18,700","21,200","22,000","23,000",,인하 25/7/3,실사 25/12/23
(1)60014아이소50특,◈아이소핑크 특호 50T 3*6,단열재,재고,"8000 별도
mm당 160 (실 150)
17 / 35 / 42 / 48","9,400","10,800","11,400","11,900",,인하 25/7/7,실사 25/12/23
(1)60015아이소100특,◈아이소핑크 특호 100T 3*6,단열재,재고,"16000 별도
mm당 160 (실 150)
16 / 32 / 40 / 45","18,600","21,200","22,400","23,200",,인하 25/7/7,실사 25/12/23
(1)6001열반사10양,◈열반사단열재 10T 양면/은/접착(25M),단열재,재고,57000 별도<br>13 / 30 / 40 / 45,"64,500","74,500","80,000","83,600",,인하 24/10/14,실사 25/12/23
(1)6001열반사6양,◈열반사단열재 6T 양면/은/접착(50M),단열재,재고,73000 별도<br>13 / 30 / 40 / 45,"82,700","94,500","101,800","105,500",,인하 24/10/14,실사 25/12/23
(1)6002열반사10양,◈열반사단열재 10T 양면/★동/접착(25M),단열재,재고,"60000 별도
13 / 30 / 40 / 45","67,800","78,000","84,000","87,000",,신규 25년 1월,실사 25/12/23
(1)6002열반사6양,◈열반사단열재 6T 양면/★동/접착(50M),단열재,재고,"76000 별도
13 / 30 / 40 / 45","86,000","98,800","106,400","110,000",,신규 25년 1월,실사 25/12/23
(1)600LXPF301800N,◈LX Z:IN PF보드 30T 1000*1800 [1면 준불연],단열재,재고,"12420 별도
10 / 20 / 32 / 32","13,700","15,000","16,500","16,500",,,실사 25/12/23
(1)600LXPF501800N,◈LX Z:IN PF보드 50T 1000*1800 [1면 준불연],단열재,재고,"18000 별도
10 / 22 / 33 / 33","19,800","22,000","24,000","24,000",,,실사 25/12/23
(1)600LXPF901800N,◈LX Z:IN PF보드 90T 1000*1800 [1면 준불연],단열재,재고,"32400 별도
10 / 20 / 32 / 32","35,700","39,000","43,000","43,000",,,실사 25/12/23
(1)600이보드13페,◈이보드 13T 900*2400 (페인트용),단열재,재고,"10000 별도
13 / 25 / 30 / 35","11,300","12,500","13,000","13,500",,인하 25/7/3,실사 25/12/23
(1)600이보드23페,◈이보드 23T 900*2400 (페인트용),단열재,재고,"14500 별도
15 / 28 / 33 / 38","16,700","18,600","19,300","20,000",,인하 25/7/3,실사 25/12/23
(1)600이보드33페,◈이보드 33T 900*2400 (페인트용),단열재,재고,"17500 별도
15 / 28 / 33 / 38","20,200","22,400","23,300","24,200",,인하 25/7/3,실사 25/12/23
(1)700168401걸레,◈영림168PS120 401걸레받이 (40*9),몰딩도어류,재고,"2096 포함
13 / 25 / 34 / 38","2,200","2,400","2,600","2,700",,,실사 25/12/23
(1)700AL앵글도장,◈AL 앵글 (백색도장) 1.0T 19*19*3000,경량철골,재고,,"2,040","2,250","2,400","2,550",,,실사 25/12/23
(1)700A합7351935,◈합판문 36*735*1935,몰딩도어류,재고,"55000 포함
11 / 13 / 32 / 35","55,500","61,000","68,200","69,100",,,실사 25/12/23
(1)700B합7352035,◈합판문 36*735*2035,몰딩도어류,재고,"55000 포함
11 / 13 / 32 / 35","55,500","61,000","68,200","69,100",,,실사 25/12/23
(1)700C합8352035,◈합판문 36*835*2035,몰딩도어류,재고,"55000 포함
11 / 13 / 32 / 35","55,500","61,000","68,200","69,100",,,실사 25/12/23
(1)700D합9352035,◈합판문 36*935*2035,몰딩도어류,재고,"60000 포함
11 / 13 / 32 / 35","60,500","66,500","76,400","77,300",,,실사 25/12/23
(1)700E합8002000무,◈합판문틀 110*800*2000/식기무X,몰딩도어류,재고,,"41,800","44,400","50,000","50,900",,,실사 25/5/13
(1)700F합8002000유,◈합판문틀 110*800*2000/식기유O,몰딩도어류,재고,,"49,200","52,300","60,000","60,000",,,실사 25/12/23
